<TICKER> <PER> <DATE> <TIME> <CLOSE>
XAU D 20020509 000000 309.3000000
XAU D 20020510 000000 310.8000000
XAU D 20020513 000000 310.5000000
XAU D 20020514 000000 307.4000000
XAU D 20020515 000000 308.8000000
XAU D 20020516 000000 309.4000000
XAU D 20020517 000000 310.8000000
XAU D 20020520 000000 315.7000000
XAU D 20020521 000000 315.9000000
XAU D 20020522 000000 317.4000000
XAU D 20020523 000000 321.8000000
XAU D 20020524 000000 320.3000000
XAU D 20020527 000000 320.0000000
XAU D 20020528 000000 324.2000000
XAU D 20020529 000000 324.7000000
XAU D 20020530 000000 324.7000000
XAU D 20020531 000000 326.2000000
XAU D 20020603 000000 326.9000000
XAU D 20020604 000000 324.5000000
XAU D 20020605 000000 321.2000000
XAU D 20020606 000000 325.1500000
XAU D 20020607 000000 323.8000000
XAU D 20020610 000000 318.8000000
XAU D 20020611 000000 320.5000000
XAU D 20020612 000000 319.0000000
XAU D 20020613 000000 317.9000000
XAU D 20020614 000000 319.1000000
XAU D 20020617 000000 316.6000000
XAU D 20020618 000000 319.9000000
XAU D 20020619 000000 320.6000000
XAU D 20020620 000000 323.7000000
XAU D 20020621 000000 324.4000000
XAU D 20020624 000000 322.3000000
XAU D 20020625 000000 321.2000000
XAU D 20020626 000000 319.0000000
XAU D 20020627 000000 318.0000000
XAU D 20020628 000000 314.2000000
XAU D 20020701 000000 314.9000000
XAU D 20020702 000000 312.7000000
XAU D 20020703 000000 310.9000000
XAU D 20020704 000000 310.5000000
XAU D 20020705 000000 311.3000000
XAU D 20020708 000000 312.6000000
XAU D 20020709 000000 316.4000000
XAU D 20020710 000000 315.8000000
XAU D 20020711 000000 314.4000000
XAU D 20020712 000000 315.8000000
XAU D 20020715 000000 317.6000000
XAU D 20020716 000000 318.0000000
XAU D 20020717 000000 317.5000000
XAU D 20020718 000000 317.7000000
XAU D 20020719 000000 323.7000000
XAU D 20020722 000000 322.9000000
XAU D 20020723 000000 313.0000000
XAU D 20020724 000000 311.0000000
XAU D 20020725 000000 309.8000000
XAU D 20020726 000000 303.5000000
XAU D 20020729 000000 302.3000000
XAU D 20020730 000000 304.5000000
XAU D 20020731 000000 303.3000000
XAU D 20020801 000000 304.4000000
XAU D 20020802 000000 307.1000000
XAU D 20020805 000000 307.9000000
XAU D 20020806 000000 306.1000000
XAU D 20020807 000000 313.8000000
XAU D 20020808 000000 310.4000000
XAU D 20020809 000000 314.3000000
XAU D 20020812 000000 314.0000000
XAU D 20020813 000000 315.4000000
XAU D 20020814 000000 311.4000000
XAU D 20020815 000000 314.7000000
XAU D 20020816 000000 313.7000000
XAU D 20020819 000000 306.5000000
XAU D 20020820 000000 309.0000000
XAU D 20020821 000000 307.8000000
XAU D 20020822 000000 306.8000000
XAU D 20020823 000000 306.8000000
XAU D 20020826 000000 309.2000000
XAU D 20020827 000000 312.5000000
XAU D 20020828 000000 309.8000000
XAU D 20020829 000000 313.7000000
XAU D 20020830 000000 312.5000000
XAU D 20020902 000000 312.0000000
XAU D 20020903 000000 313.9000000
XAU D 20020904 000000 314.3500000
XAU D 20020905 000000 319.0000000
XAU D 20020906 000000 320.0000000
XAU D 20020909 000000 321.0000000
XAU D 20020910 000000 317.5000000
XAU D 20020911 000000 317.0000000
XAU D 20020912 000000 318.8000000
XAU D 20020913 000000 316.6000000
XAU D 20020916 000000 317.2000000
XAU D 20020917 000000 318.0500000
XAU D 20020918 000000 320.1000000
XAU D 20020919 000000 323.1000000
XAU D 20020920 000000 321.9000000
XAU D 20020923 000000 323.0000000
XAU D 20020924 000000 325.9000000
XAU D 20020925 000000 322.0000000
XAU D 20020926 000000 319.8000000
XAU D 20020927 000000 319.7000000
XAU D 20020930 000000 323.5000000
XAU D 20021001 000000 320.1000000
XAU D 20021002 000000 322.8000000
XAU D 20021003 000000 321.4000000
XAU D 20021004 000000 322.0000000
XAU D 20021007 000000 322.2000000
XAU D 20021008 000000 318.0000000
XAU D 20021009 000000 319.8000000
XAU D 20021010 000000 316.6000000
XAU D 20021011 000000 316.5000000
XAU D 20021014 000000 317.7000000
XAU D 20021015 000000 313.4000000
XAU D 20021016 000000 314.2000000
XAU D 20021017 000000 311.3000000
XAU D 20021018 000000 312.6000000
XAU D 20021021 000000 310.9000000
XAU D 20021022 000000 312.8000000
XAU D 20021023 000000 311.7000000
XAU D 20021024 000000 311.4000000
XAU D 20021025 000000 313.6000000
XAU D 20021028 000000 315.3000000
XAU D 20021029 000000 316.5000000
XAU D 20021030 000000 315.8000000
XAU D 20021031 000000 317.5000000
XAU D 20021101 000000 320.1000000
XAU D 20021104 000000 318.0000000
XAU D 20021105 000000 317.5000000
XAU D 20021106 000000 317.8000000
XAU D 20021107 000000 320.6500000
XAU D 20021108 000000 321.3000000
XAU D 20021111 000000 321.4000000
XAU D 20021112 000000 324.2000000
XAU D 20021113 000000 318.7500000
XAU D 20021114 000000 318.1000000
XAU D 20021115 000000 320.3000000
XAU D 20021118 000000 319.0000000
XAU D 20021119 000000 318.5000000
XAU D 20021120 000000 317.6000000
XAU D 20021121 000000 317.4000000
XAU D 20021122 000000 320.8000000
XAU D 20021125 000000 317.9000000
XAU D 20021126 000000 317.9000000
XAU D 20021127 000000 316.5000000
XAU D 20021128 000000 317.6000000
XAU D 20021129 000000 317.9000000
XAU D 20021202 000000 317.6000000
XAU D 20021203 000000 320.5000000
XAU D 20021204 000000 321.9000000
XAU D 20021205 000000 324.1000000
XAU D 20021206 000000 326.0000000
XAU D 20021209 000000 325.6500000
XAU D 20021210 000000 323.5000000
XAU D 20021211 000000 324.3000000
XAU D 20021212 000000 331.1000000
XAU D 20021213 000000 332.9000000
