<TICKER> <PER> <DATE> <TIME> <CLOSE>
USDRUB D 20020402 000000 31.1900000
USDRUB D 20020403 000000 31.2000000
USDRUB D 20020404 000000 31.2000000
USDRUB D 20020405 000000 31.2000000
USDRUB D 20020408 000000 31.2100000
USDRUB D 20020409 000000 31.2000000
USDRUB D 20020410 000000 31.2000000
USDRUB D 20020411 000000 31.1900000
USDRUB D 20020412 000000 31.2200000
USDRUB D 20020415 000000 31.1800000
USDRUB D 20020416 000000 31.1900000
USDRUB D 20020417 000000 31.1800000
USDRUB D 20020418 000000 31.1800000
USDRUB D 20020419 000000 31.1700000
USDRUB D 20020421 000000 30.9300000
USDRUB D 20020422 000000 31.1800000
USDRUB D 20020423 000000 31.1800000
USDRUB D 20020424 000000 31.1800000
USDRUB D 20020425 000000 31.2100000
USDRUB D 20020426 000000 31.1900000
USDRUB D 20020427 000000 31.1900000
USDRUB D 20020429 000000 31.2200000
USDRUB D 20020430 000000 31.2400000
USDRUB D 20020501 000000 31.2300000
USDRUB D 20020502 000000 31.2400000
USDRUB D 20020503 000000 31.2400000
USDRUB D 20020506 000000 31.2100000
USDRUB D 20020507 000000 31.2200000
USDRUB D 20020508 000000 31.2400000
USDRUB D 20020509 000000 31.2200000
USDRUB D 20020510 000000 31.2400000
USDRUB D 20020513 000000 31.2500000
USDRUB D 20020514 000000 31.2600000
USDRUB D 20020515 000000 31.2500000
USDRUB D 20020516 000000 31.2800000
USDRUB D 20020517 000000 31.2800000
USDRUB D 20020520 000000 31.2700000
USDRUB D 20020521 000000 31.2700000
USDRUB D 20020522 000000 31.2700000
USDRUB D 20020523 000000 31.2900000
USDRUB D 20020524 000000 31.3100000
USDRUB D 20020527 000000 31.0700000
USDRUB D 20020528 000000 31.3300000
USDRUB D 20020529 000000 31.3300000
USDRUB D 20020530 000000 31.3300000
USDRUB D 20020531 000000 31.3300000
USDRUB D 20020603 000000 31.3400000
USDRUB D 20020604 000000 31.3300000
USDRUB D 20020605 000000 31.4100000
USDRUB D 20020606 000000 31.4200000
USDRUB D 20020607 000000 31.4200000
USDRUB D 20020610 000000 31.4400000
USDRUB D 20020611 000000 31.4300000
USDRUB D 20020612 000000 31.4300000
USDRUB D 20020613 000000 31.4200000
USDRUB D 20020614 000000 31.4300000
USDRUB D 20020617 000000 31.4300000
USDRUB D 20020618 000000 31.4300000
USDRUB D 20020619 000000 31.4500000
USDRUB D 20020620 000000 31.4600000
USDRUB D 20020621 000000 31.5100000
USDRUB D 20020624 000000 31.4900000
USDRUB D 20020625 000000 31.2400000
USDRUB D 20020626 000000 31.4800000
USDRUB D 20020627 000000 31.4500000
